Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,T1,C309,W02a,PT1C309W02a,PT1C309W02a,06/24/2014,06/24/2014,1,40,42,1,2,Construct,,,,,
P,T1,C309,W02b,PT1C309W02b,PT1C309W02b,06/26/2014,06/26/2014,1,40,42,1,20,Construct,,,,,
P,T1,C309,W01a,PT1C309W01a,PT1C309W01a,07/16/2014,07/16/2014,1,40,40,1,12,Construct,,,,,
P,T1,C309,W01b,PT1C309W01b,PT1C309W01b,07/28/2014,07/28/2014,1,47,40,1,19,Construct,,,,,
P,T1,C309,P04,PT1C309P04,PT1C309P04,08/16/2014,08/16/2014,1,7,14,1,4,Construct,,,,,
P,T1,C309,P03,PT1C309P03,PT1C309P03,08/20/2014,08/20/2014,1,16,0,1,8,Construct,,,,,
P,T1,C309,P02,PT1C309P02,PT1C309P02,08/28/2014,08/28/2014,1,16,12,1,21,Construct,,,,,
P,T1,C309,P01,PT1C309P01,PT1C309P01,09/18/2014,09/18/2014,1,7,13,1,32,Construct,,,,,
P,T1,C310,R05,PT1C310R05,PT1C310R05,10/20/2014,10/20/2014,1,176,177,1,0,Construct,Code 04.,"Lift ""C3-09  R03+C3-10-R05"" will be separated into ""C3-10 R05"" and ""C3-09 R03"".  All quantities will be assigned to ""C3-10 R05"".",Code 04a.,P-P-S-6810-0005,
P,T1,C309,R03,PT1C309R03,PT1C309R03,10/20/2014,10/20/2014,1,0,0,0,3,Construct,Code 04.,"Lift ""C3-09  R03+C3-10-R05"" will be separated into ""C3-10 R05"" and ""C3-09 R03"".  All quantities will be assigned to ""C3-10 R05"".",Code 04a.,P-P-S-6810-0003,
P,T1,C310,R04,PT1C310R04,PT1C310R04,10/23/2014,10/23/2014,1,216,189,1,0,Construct,Code 04.,"Lift ""C3-09  R02+C3-10-R04"" will be separated into ""C3-10 R04"" and ""C3-09 R02"".  All quantities will be assigned to ""C3-10 R04"".",Code 04a.,P-P-S-6810-0005,
P,T1,C309,R02,PT1C309R02,PT1C309R02,10/23/2014,10/23/2014,1,0,0,0,4,Construct,Code 04.,"Lift ""C3-09  R02+C3-10-R04"" will be separated into ""C3-10 R04"" and ""C3-09 R02"".  All quantities will be assigned to ""C3-10 R04"".",Code 04a.,P-P-S-6810-0003,
P,T1,C310,R03a,PT1C310R03a,PT1C310R03a,10/27/2014,10/28/2014,2,208,245,2,-4,Construct,Code 05.,"Lift ""C3-09  R01+C3-10-R03"" will be renamed as ""C3-10 R03a"".",Code 05a.,P-P-S-6810-0005,
