Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC
P,IW,M04,C04 b,PIWM04C04b,PIWM04C04b,10/24/2013,10/24/2013,1,19,16,1,15,Construct,Code 05.,"Lift ""C04.b3"" will be renamed as ""C04b"".",Code 05a.,P-P-S-4216-0001
P,IW,M04,P2-01,PIWM04P2-01,PIWM04P2-01,11/08/2013,11/08/2013,1,104,88,1,26,Construct,,,,
P,IW,M04,C05 b,PIWM04C05b,PIWM04C05b,12/04/2013,12/05/2013,2,249,245,2,98,Construct,,,,
P,IW,M04,C03,PIWM04C03,PIWM04C03,03/13/2014,03/13/2014,1,357,337,1,-121,Construct,,,,
P,IW,M04,C02,PIWM04C02,PIWM04C02,11/12/2013,03/27/2014,136,862,866,2,43,Construct,Code 05.,"Joining lifts ""C02 a"" and ""C02 b"" under the name of  ""C02"".",Code 05a.,P-P-S-4216-0002
P,IW,M04,C01,PIWM04C01,PIWM04C01,05/09/2014,05/09/2014,1,878,879,1,32,Construct,,,,
P,IW,M04,W06,PIWM04W06,PIWM04W06,06/10/2014,06/10/2014,1,193,209,1,73,Construct,,,,
P,IW,M04,W05,PIWM04W05,PIWM04W05,08/22/2014,08/22/2014,1,181,169,1,7,Construct,,,,
P,IW,M04,W04,PIWM04W04,PIWM04W04,08/29/2014,08/29/2014,1,305.5,302,1,33,Construct,,,,
P,IW,M04,W03,PIWM04W03,PIWM04W03,10/01/2014,10/01/2014,1,261,271,1,97,Construct,,,,
P,IW,M04,W02,PIWM04W02,PIWM04W02,01/06/2015,01/07/2015,2,177,187,2,73,Construct,,,,
P,IW,M04,W01,PIWM04W01,PIWM04W01,03/21/2015,03/21/2015,1,71,54,1,131,Construct,,,,
P,IW,M04,Gratings Concrete,PIWM04GratingsConcrete,PIWM04GratingsConcrete,07/30/2015,07/30/2015,1,4,4,1,-833,Construct,Code 06.,"Lift ""Gratings Conclete"" does not exist in the RFC.",Code 06a.,P-P-S-4217-0002
P,IW,M05,F02,PIWM05F02,PIWM05F02,04/18/2013,04/20/2013,3,2065,2021,3,6,Construct,,,,
P,IW,M05,F01,PIWM05F01,PIWM05F01,04/26/2013,04/27/2013,2,1556,1478,2,56,Construct,,,,
P,IW,M05,C05 a,PIWM05C05a,PIWM05C05a,06/22/2013,06/22/2013,1,514,479,1,16,Construct,,,,
P,IW,M05,P2-02,PIWM05P2-02,PIWM05P2-02,07/08/2013,07/08/2013,1,73,94,1,7,Construct,,,,
P,IW,M05,C05 b,PIWM05C05b,PIWM05C05b,07/15/2013,07/16/2013,2,240,242,2,31,Construct,,,,
P,IW,M05,C04 a,PIWM05C04a,PIWM05C04a,08/16/2013,08/08/2014,358,520,508,2,-349,Construct,,,,
P,IW,M05,P3-02,PIWM05P3-02,PIWM05P3-02,08/24/2013,08/24/2013,1,79,56,1,6,Construct,,,,
P,IW,M05,C04 b,PIWM05C04b,PIWM05C04b,08/30/2013,08/30/2013,1,240,240,1,17,Construct,,,,
P,IW,M05,P2-01,PIWM05P2-01,PIWM05P2-01,09/16/2013,09/17/2013,2,65,90,2,7,Construct,,,,
P,IW,M05,P3-01,PIWM05P3-01,PIWM05P3-01,09/24/2013,09/24/2013,1,82,82,1,-10,Construct,,,,
P,IW,M05,C03,PIWM05C03,PIWM05C03,09/14/2013,12/17/2013,95,508,501,2,10,Construct,Code 05.,"Joining lifts ""C03 a"" and ""C03 c"" under the name of  ""C03"".",Code 05a.,P-P-S-4221-0002
