Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Proces,,,RFC,Note,Corrections,Revision FR
P,UE,M06,C03a,PUEM06C03a,PUEM06C03a,11/1/2013,11/1/2013,1,129,88,1,-43,Construct,,,,,,,
P,UE,M06,C03b,PUEM06C03b,PUEM06C03b,9/19/2013,9/19/2013,1,117,122,1,49,Construct,,,,,,,
P,UE,M06,C03c,PUEM06C03c,PUEM06C03c,11/7/2013,11/7/2013,1,49,49,1,125,Construct,,,,,,,
P,UE,M06,C02,PUEM06C02,PUEM06C02,3/12/2014,3/12/2014,1,200,200,1,6,Construct,,,,,,,
P,UE,M06,C01,PUEM06C01,PUEM06C01,3/18/2014,4/1/2014,15,614,602,2,20,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1801-0001,"model has only one part, joining a and b in the table",,
P,UE,M06,W09,PUEM06W09,PUEM06W09,4/21/2014,4/21/2014,1,294,293,1,24,Construct,,,,,,,
P,UE,M06,W08,PUEM06W08,PUEM06W08,5/15/2014,5/15/2014,1,240,247,1,12,Construct,,,,,,,
P,UE,M06,W07,PUEM06W07,PUEM06W07,5/27/2014,5/27/2014,1,226,202,1,14,Construct,,,,,,,
P,UE,M06,W06,PUEM06W06,PUEM06W06,6/10/2014,6/10/2014,1,156,150,1,30,Construct,,,,,,,
P,UE,M06,W05,PUEM06W05,PUEM06W05,7/10/2014,7/10/2014,1,140,157,1,13,Construct,,,,,,,
P,UE,M06,W04,PUEM06W04,PUEM06W04,7/23/2014,7/23/2014,1,114,115,1,8,Construct,,,,,,,
P,UE,M06,W03,PUEM06W03,PUEM06W03,7/31/2014,8/1/2014,2,116,113,2,11,Construct,,,,,,,
P,UE,M06,W02,PUEM06W02,PUEM06W02,8/12/2014,8/12/2014,1,99,98,1,45,Construct,,,,,,,
P,UE,M06,W01,PUEM06W01,PUEM06W01,9/26/2014,9/26/2014,1,42,36,1,-603,Construct,,,,,,,
P,UE,M07,F02,PUEM07F02,PUEM07F02,1/31/2013,2/1/2013,2,825,755,2,19,Construct,,,,,,,
P,UE,M07,F01,PUEM07F01,PUEM07F01,2/20/2013,2/21/2013,2,1106,1155,2,216,Construct,,,,,,,
P,UE,M07,C04a,PUEM07C04a,PUEM07C04a,9/25/2013,9/25/2013,1,321,244,1,-54,Construct,,,,,model is not divided. Fix model,FIXED,
P,UE,M07,C04b,PUEM07C04b,PUEM07C04b,8/2/2013,8/2/2013,1,240,250,1,49,Construct,,,,,,,
P,UE,M07,C04c,PUEM07C04c,PUEM07C04c,9/20/2013,9/20/2013,1,105,122,1,32,Construct,,,,,,,
P,UE,M07,C03a,PUEM07C03a,PUEM07C03a,10/22/2013,10/22/2013,1,225,222,1,-46,Construct,,,,,model is not divided. Fix model,FIXED,
P,UE,M07,C03b,PUEM07C03b,PUEM07C03b,9/6/2013,9/6/2013,1,265,254,1,54,Construct,,,,,,,
P,UE,M07,C03c,PUEM07C03c,PUEM07C03c,10/30/2013,10/30/2013,1,113,111,1,41,Construct,,,,,,,
P,UE,M07,C02,PUEM07C02,PUEM07C02,12/10/2013,12/10/2013,1,437,402,1,2,Construct,,,,,,,
P,UE,M07,C01,PUEM07C01,PUEM07C01,12/12/2013,1/3/2014,23,1298,1355,2,62,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1821-0002,"model has only one part, joining a and b in the table",,
P,UE,M07,W09,PUEM07W09,PUEM07W09,3/6/2014,3/6/2014,1,643,649,1,14,Construct,,,,,,,
P,UE,M07,W08,PUEM07W08,PUEM07W08,3/20/2014,3/20/2014,1,551,545,1,18,Construct,,,,,,,
P,UE,M07,W07,PUEM07W07,PUEM07W07,4/7/2014,4/7/2014,1,425,441,1,15,Construct,,,,,,,
