Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Notes,,
P,UW,M05,C04c,PUWM05C04c,PUWM05C04c,05/01/2012,05/01/2012,1,81,81,1,-8,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M05,C03a,PUWM05C03a,PUWM05C03a,04/23/2012,04/24/2012,2,161,161,2,350,Construct,,,,,,,
P,UW,M05,C03b,PUWM05C03b,PUWM05C03b,04/09/2013,04/09/2013,1,225,205,1,-327,Construct,,,,,,,
P,UW,M05,C03c,PUWM05C03c,PUWM05C03c,05/17/2012,05/17/2012,1,81,81,1,348,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M05,C02,PUWM05C02,PUWM05C02,04/30/2013,05/01/2013,2,297,299,2,7,Construct,,,,,,,
P,UW,M05,C01,PUWM05C01,PUWM05C01,05/08/2013,05/18/2013,11,1018,999,2,17,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1281-0001,"Model has no separation, uniting a and b",,
P,UW,M05,W09,PUWM05W09,PUWM05W09,06/04/2013,06/04/2013,1,561,494,1,18,Construct,,,,,,,
P,UW,M05,W08,PUWM05W08,PUWM05W08,06/22/2013,06/22/2013,1,433,419,1,17,Construct,,,,,,,
P,UW,M05,W07,PUWM05W07,PUWM05W07,07/09/2013,07/09/2013,1,352,344,1,34,Construct,,,,,,,
P,UW,M05,W06,PUWM05W06,PUWM05W06,08/12/2013,08/12/2013,1,264,260,1,21,Construct,,,,,,,
P,UW,M05,W05,PUWM05W05,PUWM05W05,09/02/2013,09/02/2013,1,284,275,1,14,Construct,,,,,,,
P,UW,M05,W04,PUWM05W04,PUWM05W04,09/16/2013,09/17/2013,2,230,206,2,16,Construct,,,,,,,
P,UW,M05,W03,PUWM05W03,PUWM05W03,10/03/2013,10/04/2013,2,217,196,2,34,Construct,,,,,,,
P,UW,M05,W02,PUWM05W02,PUWM05W02,11/07/2013,11/07/2013,1,195,157,1,256,Construct,,,,,,,
P,UW,M05,W01,PUWM05W01,PUWM05W01,07/21/2014,07/21/2014,1,69,69,1,-462,Construct,,,,,,,
P,UW,M06,F02,PUWM06F02,PUWM06F02,04/15/2013,04/15/2013,1,433,392,1,15,Construct,,,,,,,
P,UW,M06,F01,PUWM06F01,PUWM06F01,04/30/2013,04/30/2013,1,505,554,1,71,Construct,,,,,,,
P,UW,M06,C04a,PUWM06C04a,PUWM06C04a,07/10/2013,07/17/2013,8,138,94,2,-5,Construct,,,,,,,
P,UW,M06,C04b,PUWM06C04b,PUWM06C04b,07/12/2013,07/12/2013,1,115,113,1,31,Construct,,,,,,,
P,UW,M06,C04c,PUWM06C04c,PUWM06C04c,08/12/2013,08/12/2013,1,57,85,1,16,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M06,C03a,PUWM06C03a,PUWM06C03a,08/28/2013,08/28/2013,1,97,98,1,-22,Construct,,,,,,,
P,UW,M06,C03b,PUWM06C03b,PUWM06C03b,08/06/2013,08/06/2013,1,113,113,1,16,Construct,,,,,,,
P,UW,M06,C03c,PUWM06C03c,PUWM06C03c,08/22/2013,08/22/2013,1,53,49,1,85,Construct,Code 05.,"Lift ""C03 a&c"" will be renamed as ""C03""",Code 05a.,P-P-S-1301-0001,"removing the ""a"" from the name in the table.",,
P,UW,M06,C02,PUWM06C02,PUWM06C02,11/15/2013,11/16/2013,2,177,179,2,2,Construct,,,,,,,
P,UW,M06,C01,PUWM06C01,PUWM06C01,11/18/2013,11/27/2013,10,610,602,3,15,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1301-0001,"Model has no separation, uniting a and b",,
P,UW,M06,W09,PUWM06W09,PUWM06W09,12/12/2013,12/12/2013,1,308,293,1,14,Construct,,,,,,,
P,UW,M06,W08,PUWM06W08,PUWM06W08,12/26/2013,12/26/2013,1,260,247,1,19,Construct,,,,,,,
P,UW,M06,W07,PUWM06W07,PUWM06W07,01/14/2014,01/14/2014,1,173,202,1,9,Construct,,,,,,,
P,UW,M06,W06,PUWM06W06,PUWM06W06,01/23/2014,01/23/2014,1,168,151,1,33,Construct,,,,,,,
P,UW,M06,W05,PUWM06W05,PUWM06W05,02/25/2014,02/25/2014,1,152,156,1,15,Construct,,,,,,,
P,UW,M06,W04,PUWM06W04,PUWM06W04,03/12/2014,03/12/2014,1,116,116,1,13,Construct,,,,,,,
P,UW,M06,W03,PUWM06W03,PUWM06W03,03/25/2014,03/25/2014,1,112,113,1,17,Construct,,,,,,,
P,UW,M06,W02,PUWM06W02,PUWM06W02,04/11/2014,04/11/2014,1,100,98,1,59,Construct,,,,,,,
P,UW,M06,W01,PUWM06W01,PUWM06W01,06/09/2014,06/09/2014,1,39,40,1,-349,Construct,,,,,,,
P,UW,M07,F02,PUWM07F02,PUWM07F02,06/25/2013,06/26/2013,2,766,755,2,19,Construct,,,,,,,
P,UW,M07,F01,PUWM07F01,PUWM07F01,07/15/2013,07/16/2013,2,1097,1155,2,17,Construct,,,,,,,
P,UW,M07,C04a,PUWM07C04a,PUWM07C04a,08/02/2013,08/03/2013,2,455,244,2,33,Construct,,,,,,,
