Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,
P,H3W,6D,F07,PH3W6DF07,PH3W6DF07,05/09/2012,05/10/2012,2,0,0,0,12,Construct,Code 04.,"Lift ""6D&6E F07"" will be separated into ""6D F07"" and ""6E F07"".  All quantities will be assigned to ""6E F07"".",Code 04a.,P-P-S-0745-0004,,,,
P,H3W,6D,F06,PH3W6DF06,PH3W6DF06,05/22/2012,05/22/2012,1,0,0,0,14,Construct,Code 04.,"Lift ""6D&6E F06"" will be separated into ""6D F06"" and ""6E F06"".  All quantities will be assigned to ""6E F06"".",Code 04a.,P-P-S-0745-0004,,,,
P,H3W,6D,F05,PH3W6DF05,PH3W6DF05,06/05/2012,06/05/2012,1,0,0,0,9,Construct,Code 04.,"Lift ""6D&6E F05"" will be separated into ""6D F05"" and ""6E F05"".  All quantities will be assigned to ""6E F05"".",Code 04a.,P-P-S-0745-0004,,,,
P,H3W,6D,F04,PH3W6DF04,PH3W6DF04,06/14/2012,06/15/2012,2,0,0,0,46,Construct,Code 04.,"Lift ""6D&6E F04"" will be separated into ""6D F04"" and ""6E F04"".  All quantities will be assigned to ""6E F04"".",Code 04a.,P-P-S-0745-0004,,,,
P,H3W,6D,F03,PH3W6DF03,PH3W6DF03,07/31/2012,08/03/2012,4,909,940,4,17,Construct,,,,,,,,
P,H3W,6D,F02,PH3W6DF02,PH3W6DF02,08/20/2012,08/22/2012,3,662,685,3,44,Construct,,,,,,,,
P,H3W,6D,F01,PH3W6DF01,PH3W6DF01,10/05/2012,03/25/2014,537,307,268,2,-462,Construct,,,,,,,,
P,H3W,6D,W14a,PH3W6DW14a,PH3W6DW14a,12/18/2012,12/19/2012,2,174,163,2,-65,Construct,,,,,,,,
P,H3W,6D,W14b,PH3W6DW14b,PH3W6DW14b,10/15/2012,10/24/2012,10,210,180,3,-33,Construct,,,,,,,,
P,H3W,6D,W14c,PH3W6DW14c,PH3W6DW14c,09/21/2012,09/21/2012,1,189,160,1,151,Construct,,,,,,,,
P,H3W,6D,W13a,PH3W6DW13a,PH3W6DW13a,02/19/2013,02/19/2013,1,177,170,1,-13,Construct,,,,,,,,
P,H3W,6D,W13b,PH3W6DW13b,PH3W6DW13b,02/06/2013,02/08/2013,3,400,413,3,7,Construct,,,,,,,,
P,H3W,6D,W13c,PH3W6DW13c,PH3W6DW13c,02/15/2013,02/15/2013,1,176,167,1,52,Construct,,,,,,,,
P,H3W,6D,W12,PH3W6DW12,PH3W6DW12,04/08/2013,04/08/2013,1,304,310,1,14,Construct,,,,,,,,
P,H3W,6D,W11,PH3W6DW11,PH3W6DW11,04/22/2013,04/22/2013,1,512,534,1,22,Construct,,,,,,,,
P,H3W,6D,W10,PH3W6DW10,PH3W6DW10,05/14/2013,06/08/2013,26,1144,1138,4,130,Construct,Code 02.,"Joining lifts ""W10a"" and ""W10b"" under the name of ""W10"".",Code 02a.,P-P-S-0746-0001,,,,
P,H3W,6D,W09a,PH3W6DW09a,PH3W6DW09a,10/16/2013,10/16/2013,1,255,263,1,0,Construct,Code 03.,"Lift ""W09 a+b"" will be separated into ""W09a"" and ""W09b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6D,W09b,PH3W6DW09b,PH3W6DW09b,10/16/2013,10/16/2013,1,0,0,0,7,Construct,Code 03.,"Lift ""W09 a+b"" will be separated into ""W09a"" and ""W09b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6D,W08a,PH3W6DW08a,PH3W6DW08a,10/23/2013,10/23/2013,1,244,263,1,0,Construct,Code 03.,"Lift ""W08 a+b"" will be separated into ""W08a"" and ""W08b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6D,W08b,PH3W6DW08b,PH3W6DW08b,10/23/2013,10/23/2013,1,0,0,0,16,Construct,Code 03.,"Lift ""W08 a+b"" will be separated into ""W08a"" and ""W08b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6D,W07,PH3W6DW07,PH3W6DW07,11/08/2013,11/08/2013,1,464,480,1,8,Construct,,,,,,,,
P,H3W,6D,W06,PH3W6DW06,PH3W6DW06,11/16/2013,11/16/2013,1,465,485,1,6,Construct,,,,,,,,
P,H3W,6D,W05,PH3W6DW05,PH3W6DW05,11/22/2013,11/22/2013,1,385,403,1,12,Construct,,,,,,,,
P,H3W,6D,W04a,PH3W6DW04a,PH3W6DW04a,12/04/2013,12/04/2013,1,536,555,1,10,Construct,Code 03.,"Lift ""W04 a&b"" will be separated into ""W04a"" and ""W04b"".  All quantities will be assigned to ""W04a"".",Code 03a.,P-P-S-0748-0004,,,,
P,H3W,6D,W04b,PH3W6DW04b,PH3W6DW04b,12/04/2013,12/04/2013,1,0,0,0,19,Construct,Code 03.,"Lift ""W04 a&b"" will be separated into ""W04a"" and ""W04b"".  All quantities will be assigned to ""W04a"".",Code 03a.,P-P-S-0748-0004,,,,
P,H3W,6D,W03,PH3W6DW03,PH3W6DW03,12/14/2013,12/14/2013,1,480,480,1,9,Construct,,,,,,,,
P,H3W,6D,W02,PH3W6DW02,PH3W6DW02,12/23/2013,12/23/2013,1,411,404,1,79,Construct,,,,,,,,
P,H3W,6D,W01,PH3W6DW01,PH3W6DW01,03/12/2014,03/12/2014,1,204,216,1,-672,Construct,,,,,,,,
P,H3W,6E,F07,PH3W6EF07,PH3W6EF07,05/09/2012,05/10/2012,2,349,313,2,12,Construct,Code 04.,"Lift ""6D&6E F07"" will be separated into ""6D F07"" and ""6E F07"".  All quantities will be assigned to ""6E F07"".",Code 04a.,P-P-S-0745-0004,,,,
P,H3W,6E,F06,PH3W6EF06,PH3W6EF06,05/22/2012,05/22/2012,1,448,397,1,14,Construct,Code 04.,"Lift ""6D&6E F06"" will be separated into ""6D F06"" and ""6E F06"".  All quantities will be assigned to ""6E F06"".",Code 04a.,P-P-S-0745-0004,,,,
P,H3W,6E,F05,PH3W6EF05,PH3W6EF05,06/05/2012,06/05/2012,1,456,402,1,9,Construct,Code 04.,"Lift ""6D&6E F05"" will be separated into ""6D F05"" and ""6E F05"".  All quantities will be assigned to ""6E F05"".",Code 04a.,P-P-S-0745-0004,,,,
P,H3W,6E,F04,PH3W6EF04,PH3W6EF04,06/14/2012,06/15/2012,2,740,500,2,11,Construct,Code 04.,"Lift ""6D&6E F04"" will be separated into ""6D F04"" and ""6E F04"".  All quantities will be assigned to ""6E F04"".",Code 04a.,P-P-S-0745-0004,,,,
P,H3W,6E,F03,PH3W6EF03,PH3W6EF03,06/26/2012,06/27/2012,2,430,430,2,15,Construct,,,,,,,,
