Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections,Further Notse
P,ME,M07,F01,PMEM07F01,PMEM07F01,10/21/2013,3/10/2014,141,1129,1085,3,-37,Construct,Code 02.,"Joining ""F01a"" and ""F01c""under the name of ""F01"".",Code 02a.,P-P-S-2821-0002,"Model has no part b, joining pours",,
P,ME,M07,C04 a,PMEM07C04a,PMEM07C04a,2/1/2014,2/1/2014,1,273,223,1,40,Construct,,,,,,,
P,ME,M07,C03 a,PMEM07C03a,PMEM07C03a,3/13/2014,3/13/2014,1,293,235,1,15,Construct,,,,,,,
P,ME,M07,C04 c,PMEM07C04c,PMEM07C04c,3/28/2014,3/28/2014,1,122,124,1,1,Construct,,,,,,,
P,ME,M07,C04 b,PMEM07C04b,PMEM07C04b,3/29/2014,3/29/2014,1,248,240,1,18,Construct,,,,,,,
P,ME,M07,C03 c,PMEM07C03c,PMEM07C03c,4/16/2014,4/16/2014,1,110,120,1,6,Construct,,,,,,,
P,ME,M07,C03 b,PMEM07C03b,PMEM07C03b,4/22/2014,4/22/2014,1,258,270,1,36,Construct,,,,,,,
P,ME,M07,C02,PMEM07C02,PMEM07C02,5/28/2014,5/28/2014,1,439,407,1,3,Construct,,,,,,,
P,ME,M07,C01,PMEM07C01,PMEM07C01,5/31/2014,6/7/2014,8,1406,1404,3,14,Construct,,,,,,,
P,ME,M07,W09,PMEM07W09,PMEM07W09,6/21/2014,6/21/2014,1,630,649,1,12,Construct,,,,,,,
P,ME,M07,W08,PMEM07W08,PMEM07W08,7/3/2014,7/3/2014,1,565,545,1,8,Construct,,,,,,,
P,ME,M07,W07,PMEM07W07,PMEM07W07,7/11/2014,7/11/2014,1,415,441,1,13,Construct,,,,,,,
P,ME,M07,W06,PMEM07W06,PMEM07W06,7/24/2014,7/24/2014,1,353,354,1,9,Construct,,,,,,,
P,ME,M07,W05,PMEM07W05,PMEM07W05,8/2/2014,8/2/2014,1,365,352,1,12,Construct,,,,,,,
P,ME,M07,W04,PMEM07W04,PMEM07W04,8/14/2014,8/14/2014,1,281,287,1,11,Construct,,,,,,,
P,ME,M07,W03a,PMEM07W03a,PMEM07W03a,8/25/2014,8/26/2014,2,296.5,376,2,-1,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2823-0002,,,
P,ME,M07,W03b,PMEM07W03b,PMEM07W03b,8/25/2014,8/26/2014,2,0,0,0,10,Construct,Code 03.,"Lift ""W03"" will be separated into ""W03a"" and ""W03b"". All quantities will be assigned to ""W03a"".",Code 03a.,P-P-S-2823-0002,,,
P,ME,M07,W02,PMEM07W02,PMEM07W02,9/5/2014,9/5/2014,1,283,247,1,20,Construct,,,,,,,
P,ME,M07,W01,PMEM07W01,PMEM07W01,9/25/2014,9/26/2014,2,126,120,2,-864,Construct,,,,,,,
P,ME,M08,F03,PMEM08F03,PMEM08F03,5/15/2012,5/16/2012,2,530,414,2,10,Construct,,,,,,,
P,ME,M08,F02,PMEM08F02,PMEM08F02,5/26/2012,5/27/2012,2,816,779,2,8,Construct,,,,,,,
P,ME,M08,F01,PMEM08F01,PMEM08F01,6/4/2012,12/10/2012,190,898.51,841,6,-3,Construct,Code 02.,"Joining ""F01"", ""F01 a,c"", F01c"", ""F01a"" and ""F01b"" under the name of ""F01"".",Code 02.,P-P-S-2841-0002,"Model is not well separated at F01, also F01 does not have parts, joining pours",Fixed,
P,ME,M08,C04 a,PMEM08C04a,PMEM08C04a,12/7/2012,12/10/2012,4,230,214,2,0,Construct,,,,,"Model is not well separated, review model",Fixed,
P,ME,M08,C04 c,PMEM08C04c,PMEM08C04c,12/10/2012,12/10/2012,1,81,76,1,10,Construct,,,,,"Model is not well separated, review model",Fixed,
P,ME,M08,C04 b,PMEM08C04b,PMEM08C04b,12/20/2012,12/21/2012,2,210,167,2,0,Construct,,,,,"Model is not well separated, review model",Fixed,
P,ME,M08,C03 a,PMEM08C03a,PMEM08C03a,12/21/2012,12/21/2012,1,168.5,154,1,15,Construct,,,,,"Model is not well separated at F01, also F01 does not have parts, joining pours",Fixed,
P,ME,M08,C03 c,PMEM08C03c,PMEM08C03c,1/5/2013,1/5/2013,1,81,76,1,5,Construct,,,,,"Model is not well separated, review model",Fixed,
P,ME,M08,C03 b,PMEM08C03b,PMEM08C03b,1/10/2013,1/11/2013,2,183,200,2,17,Construct,,,,,"Model is not well separated, review model",Fixed,
P,ME,M08,C02,PMEM08C02,PMEM08C02,1/28/2013,1/29/2013,2,265,294,2,6,Construct,,,,,,,
P,ME,M08,C01,PMEM08C01,PMEM08C01,2/4/2013,2/15/2013,12,1090,999,4,31,Construct,Code 02.,"Joining ""C01a"" and ""C01b""under the name of ""C01"".",Code 02a.,P-P-S-2841-0002,"Model has no part b, joining pours",,
P,ME,M08,W09,PMEM08W09,PMEM08W09,3/18/2013,3/18/2013,1,562,479,1,18,Construct,,,,,,,
P,ME,M08,W08,PMEM08W08,PMEM08W08,4/5/2013,4/6/2013,2,426,404,2,16,Construct,,,,,,,
P,ME,M08,W07,PMEM08W07,PMEM08W07,4/22/2013,4/23/2013,2,336,329,2,111,Construct,,,,,,,
P,ME,M08,W06,PMEM08W06,PMEM08W06,8/12/2013,8/13/2013,2,277,266,2,21,Construct,,,,,,,
P,ME,M08,W05,PMEM08W05,PMEM08W05,9/3/2013,9/3/2013,1,256,266,1,15,Construct,,,,,,,
P,ME,M08,W04,PMEM08W04,PMEM08W04,9/18/2013,9/19/2013,2,224,217,2,18,Construct,,,,,,,
P,ME,M08,W03 b,PMEM08W03b,PMEM08W03b,10/7/2013,10/7/2013,1,137,140,1,30,Construct,,,,,"Model has no part b, joining pours",,
P,ME,M08,W03 a,PMEM08W03a,PMEM08W03a,11/6/2013,11/7/2013,2,161,144,2,9,Construct,,,,,,,
