Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,H2C,5C,F03,PH2C5CF03,PH2C5CF03,01/17/2013,01/22/2013,6,684,706,2,7,Construct,Code 02.,Joining F03b and F03a.    All quantities ara assigned to F03.,Code 02a.,P-P-S-0445-0001,
P,H2C,5C,F02,PH2C5CF02,PH2C5CF02,01/29/2013,02/22/2013,25,200,230,3,-17,Construct,,,,,
P,H2C,5C,F01,PH2C5CF01,PH2C5CF01,02/05/2013,02/19/2013,15,176,137,3,-266,Construct,,,,,
P,H2C,4A,F03,PH2C4AF03,PH2C4AF03,05/29/2012,06/08/2012,11,724,706,4,21,Construct,,,,,
P,H2C,4A,F02,PH2C4AF02,PH2C4AF02,06/29/2012,10/22/2012,116,243,233,4,-104,Construct,,,,,
P,H2C,4A,F01,PH2C4AF01,PH2C4AF01,07/10/2012,07/10/2012,1,130,140,1,59,Construct,,,,,
P,H2C,4B,F03,PH2C4BF03,PH2C4BF03,09/07/2012,09/08/2012,2,1177,1199,2,42,Construct,,,,,
P,H2C,4B,F02,PH2C4BF02,PH2C4BF02,10/20/2012,10/20/2012,1,456,455,1,9,Construct,,,,,
P,H2C,4B,F01,PH2C4BF01,PH2C4BF01,10/29/2012,10/29/2012,1,532,535,1,-357,Construct,,,,,
P,H2C,4C,F06,PH2C4CF06,PH2C4CF06,11/07/2011,11/07/2011,1,278,238,1,5,Construct,,,,,
P,H2C,4C,F05,PH2C4CF05,PH2C4CF05,11/12/2011,11/12/2011,1,456,435,1,4,Construct,,,,,
P,H2C,4C,F04,PH2C4CF04,PH2C4CF04,11/16/2011,11/16/2011,1,528,517,1,9,Construct,,,,,
P,H2C,4C,F03,PH2C4CF03,PH2C4CF03,11/25/2011,12/14/2011,20,727,699,4,20,Construct,,,,,
P,H2C,4C,F02,PH2C4CF02,PH2C4CF02,01/03/2012,03/07/2013,430,224,230,3,-405,Construct,,,,,
P,H2C,4C,F01,PH2C4CF01,PH2C4CF01,01/27/2012,01/27/2012,1,138,137,1,-134,Construct,,,,,
P,H2E,3A,F07,PH2E3AF07,PH2E3AF07,09/15/2011,09/15/2011,1,766,736,1,11,Construct,,,,,
P,H2E,3A,F06,PH2E3AF06,PH2E3AF06,09/26/2011,10/01/2011,6,944,845,2,12,Construct,,,,,
P,H2E,3A,F05a,PH2E3AF05a,PH2E3AF05a,10/13/2011,10/13/2011,1,360,284,1,-2,Construct,,,,,
