Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,T5,C311,F01b,PT5C311F01b,PT5C311F01b,01/14/2015,01/14/2015,1,184,180,1,5,Construct,,,,
P,T5,C311,W05b,PT5C311W05b,PT5C311W05b,01/19/2015,01/20/2015,2,59,83,2,3,Construct,,,,
P,T5,C311,W05a,PT5C311W05a,PT5C311W05a,01/23/2015,01/23/2015,1,88,43,1,10,Construct,,,,
P,T5,C311,W04a,PT5C311W04a,PT5C311W04a,02/02/2015,02/02/2015,1,92,84,1,0,Construct,Code 03.,"Lift ""11+12W04a"" will be separated into ""11W04a"" and ""12W04a"". All quantities will be assigned to ""11W04a"".",Code 03a.,P-P-S-6850-0003
P,T5,C311,W04b,PT5C311W04b,PT5C311W04b,02/02/2015,02/02/2015,1,104,84,1,11,Construct,Code 03.,"Lift ""11+12W04b"" will be separated into ""11W04b"" and ""12W04b"". All quantities will be assigned to ""11W04b"".",Code 03a.,P-P-S-6850-0004
P,T5,C311,W03a,PT5C311W03a,PT5C311W03a,02/13/2015,02/14/2015,2,122,111,2,0,Construct,Code 03.,"Lift ""11+12W03a"" will be separated into ""11W03a"" and ""12W03a"". All quantities will be assigned to ""11W03a"".",Code 03a.,P-P-S-6850-0003
P,T5,C311,W03b,PT5C311W03b,PT5C311W03b,02/14/2015,02/14/2015,1,119,111,1,9,Construct,Code 03.,"Lift ""11+12W03b"" will be separated into ""11W03b"" and ""12W03b"". All quantities will be assigned to ""11W03b"".",Code 03a.,P-P-S-6850-0004
P,T5,C311,W02a,PT5C311W02a,PT5C311W02a,02/23/2015,02/23/2015,1,16,34,1,0,Construct,Code 03.,"Lift ""11+12W02a"" will be separated into ""11W02a"" and ""12W02a"". All quantities will be assigned to ""11W02a"".",Code 03a.,P-P-S-6850-0003
P,T5,C311,W02b,PT5C311W02b,PT5C311W02b,02/23/2015,02/23/2015,1,14,34,1,0,Construct,Code 03.,"Lift ""11+12W02b"" will be separated into ""11W02b"" and ""12W02b"". All quantities will be assigned to ""11W02b"".",Code 03a.,P-P-S-6850-0004
P,T5,C311,P05,PT5C311P05,PT5C311P05,02/23/2015,02/23/2015,1,64,54,1,1,Construct,Code 04.,"Lift ""C3-11 +12 P05 + P06"" will be separated into ""C3-11-P05"", ""C3-11-P06""and ""C3-12-P05"", ""C3-12-P06"".  All quantities will be assigned to ""C3-11P05"".",Code 04a.,P-P-S-6850-0004
P,T5,C311,P04,PT5C311P04,PT5C311P04,02/24/2015,02/24/2015,1,0,0,0,-1,Construct,Code 01.,"A new row was created under the name of ""P04"" with 0 quantities and the date of the previous lift plus one day.",Code 01a.,P-P-S-6850-0004
P,T5,C311,P06,PT5C311P06,PT5C311P06,02/23/2015,02/23/2015,1,0,0,0,-45,Construct,Code 04.,"Lift ""C3-11 +12 P05 + P06"" will be separated into ""C3-11-P05"", ""C3-11-P06""and ""C3-12-P05"", ""C3-12-P06"".  All quantities will be assigned to ""C3-11P05"".",Code 04a.,P-P-S-6850-0004
P,T5,C311,P07,PT5C311P07,PT5C311P07,01/09/2015,01/09/2015,1,0,0,0,-1,Construct,Code 01.,"A new row was created under the name of ""P07"" with 0 quantities and the date of the previous lift plus one day.",Code 01a.,P-P-S-6850-0004
P,T5,C311,P08,PT5C311P08,PT5C311P08,01/08/2015,01/08/2015,1,0,0,0,53,Construct,Code 01.,"A new row was created under the name of ""P08"" with 0 quantities and the date of the previous lift plus one day.",Code 01a.,P-P-S-6850-0004
P,T5,C311,P02,PT5C311P02,PT5C311P02,03/02/2015,03/02/2015,1,54,50,1,0,Construct,Code 04.,"Lift ""C3-11 +12 P02 + P03"" will be separated into ""C3-11-P02"", ""C3-11-P03""and ""C3-12-P02"", ""C3-12-P03"".  All quantities will be assigned to ""C3-11P02"".",Code 04a.,P-P-S-6850-0004
P,T5,C311,P03,PT5C311P03,PT5C311P03,03/02/2015,03/02/2015,1,0,0,0,2,Construct,Code 04.,"Lift ""C3-11 +12 P02 + P03"" will be separated into ""C3-11-P02"", ""C3-11-P03""and ""C3-12-P02"", ""C3-12-P03"".  All quantities will be assigned to ""C3-11P02"".",Code 04a.,P-P-S-6850-0004
P,T5,C311,P01,PT5C311P01,PT5C311P01,03/04/2015,03/04/2015,1,15,11,1,0,Construct,Code 03.,"Lift ""11+12 P01 "" will be separated into ""11P01"" and ""12P01"". All quantities will be assigned to ""11P01"".",Code 03a.,P-P-S-6850-0004
P,T5,C311,W01b,PT5C311W01b,PT5C311W01b,03/04/2015,03/04/2015,1,81,76,1,5,Construct,Code 04,"Lift ""C3-11 +12W01 a+b"" will be separated into ""C3-11-W01b"" and ""C3-12-W01b"".  All quantities will be assigned to ""C3-11W01a"".",Code 04a.,P-P-S-6850-0004
P,T5,C311,W01a,PT5C311W01a,PT5C311W01a,03/09/2015,03/09/2015,1,60,38,1,-35,Construct,Code 03.,"Lift ""11+12W01"" will be separated into ""11W01a"" and ""12W01a"". All quantities will be assigned to ""11W01a"".",Code 03a.,P-P-S-6850-0003
