Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duation in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number
P,TRF5,P2,01,PTRF5P201,PTRF5P201,07/14/2014,07/14/2014,1,49,50,1,0,Construct,Code 03.,"Lift ""P2-02+01"" will be separated into ""P201"" and ""P202"". All quantities will be assigned to ""P201"".",Code 03a.,P-P-S-6141-0002
P,TRF5,P2,02,PTRF5P202,PTRF5P202,07/14/2014,07/14/2014,1,0,0,0,0,Construct,Code 03.,"Lift ""P2-02+01"" will be separated into ""P201"" and ""P202"". All quantities will be assigned to ""P201"".",Code 03a.,P-P-S-6141-0002
P,TRF5,P4,01,PTRF5P401,PTRF5P401,07/14/2014,07/14/2014,1,39,50,1,0,Construct,Code 03.,"Lift ""P4-02+01"" will be separated into ""P401"" and ""P402"". All quantities will be assigned to ""P401"".",Code 03a.,P-P-S-6141-0003
P,TRF5,P4,02,PTRF5P402,PTRF5P402,07/14/2014,07/14/2014,1,0,0,0,1,Construct,Code 03.,"Lift ""P4-02+01"" will be separated into ""P401"" and ""P402"". All quantities will be assigned to ""P401"".",Code 03a.,P-P-S-6141-0003
P,TRF5,P1,03,PTRF5P103,PTRF5P103,07/15/2014,07/16/2014,2,43,35,2,6,Construct,,,,
P,TRF5,P5,03,PTRF5P503,PTRF5P503,07/22/2014,07/22/2014,1,46,35,1,10,Construct,,,,
P,TRF5,P1,01,PTRF5P101,PTRF5P101,08/01/2014,08/01/2014,1,64,70,1,0,Construct,Code 03.,"Lift ""P1-02+01"" will be separated into ""P101"" and ""P102"". All quantities will be assigned to ""P101"".",Code 03a.,P-P-S-6141-0002
P,TRF5,P1,02,PTRF5P102,PTRF5P102,08/01/2014,08/01/2014,1,0,0,0,0,Construct,Code 03.,"Lift ""P1-02+01"" will be separated into ""P101"" and ""P102"". All quantities will be assigned to ""P101"".",Code 03a.,P-P-S-6141-0002
P,TRF5,P5,01,PTRF5P501,PTRF5P501,08/01/2014,08/02/2014,2,52,70,2,-1,Construct,Code 03.,"Lift ""P5-02+01"" will be separated into ""P501"" and ""P502"". All quantities will be assigned to ""P501"".",Code 03a.,P-P-S-6141-0003
P,TRF5,P5,02,PTRF5P502,PTRF5P502,08/01/2014,08/02/2014,2,0,0,0,-128,Construct,Code 03.,"Lift ""P5-02+01"" will be separated into ""P501"" and ""P502"". All quantities will be assigned to ""P501"".",Code 03a.,P-P-S-6141-0003
P,TRF5,R,12,PTRF5R12,PTRF5R12,03/27/2014,03/27/2014,1,161,155,1,19,Construct,,,,
P,TRF5,R,11,PTRF5R11,PTRF5R11,04/15/2014,04/15/2014,1,145,155,1,30,Construct,,,,
P,TRF5,R,10,PTRF5R10,PTRF5R10,05/15/2014,05/15/2014,1,156,170,1,11,Construct,,,,
P,TRF5,R,09,PTRF5R09,PTRF5R09,05/26/2014,05/26/2014,1,173,185,1,14,Construct,,,,
P,TRF5,R,08,PTRF5R08,PTRF5R08,06/09/2014,06/09/2014,1,199,205,1,11,Construct,,,,
P,TRF5,R,07,PTRF5R07,PTRF5R07,06/20/2014,06/21/2014,2,210,220,2,13,Construct,,,,
P,TRF5,R,06,PTRF5R06,PTRF5R06,07/04/2014,07/05/2014,2,210,235,2,18,Construct,,,,
P,TRF5,R,05,PTRF5R05,PTRF5R05,07/23/2014,07/23/2014,1,223,255,1,42,Construct,,,,
P,TRF5,R,04,PTRF5R04,PTRF5R04,09/03/2014,09/04/2014,2,256,270,2,30,Construct,,,,
P,TRF5,R,03,PTRF5R03,PTRF5R03,10/04/2014,10/04/2014,1,355,355,1,6,Construct,,,,
P,TRF5,R,02,PTRF5R02,PTRF5R02,10/10/2014,10/11/2014,2,819,830,2,6,Construct,,,,
P,TRF5,R,01,PTRF5R01,PTRF5R01,10/17/2014,10/18/2014,2,502,520,2,-224,Construct,,,,
P,TRF5,R,13,PTRF5R13,PTRF5R13,03/08/2014,03/08/2014,1,193,155,1,-10,Construct,,,,
P,TRF5,R,14,PTRF5R14,PTRF5R14,02/26/2014,02/26/2014,1,121,95,1,,Construct,,,,
