Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections
P,MW,M06,W08,PMWM06W08,PMWM06W08,08/27/2013,08/28/2013,2,294,247,2,16,Construct,,,,,,
P,MW,M06,W07,PMWM06W07,PMWM06W07,09/13/2013,09/13/2013,1,197,202,1,256,Construct,,,,,,
P,MW,M06,W06,PMWM06W06,PMWM06W06,05/27/2014,05/27/2014,1,160,160,1,11,Construct,,,,,,
P,MW,M06,W05,PMWM06W05,PMWM06W05,06/07/2014,06/07/2014,1,144,159,1,16,Construct,,,,,,
P,MW,M06,W04,PMWM06W04,PMWM06W04,06/23/2014,06/23/2014,1,135,129,1,15,Construct,,,,,,
P,MW,M06,W03b,PMWM06W03b,PMWM06W03b,07/08/2014,07/08/2014,1,128,120,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2303-0001,,
P,MW,M06,W03a,PMWM06W03a,PMWM06W03a,07/09/2014,07/09/2014,1,0,0,0,13,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2303-0001,,
P,MW,M06,W02,PMWM06W02,PMWM06W02,07/22/2014,07/22/2014,1,108,105,1,112,Construct,,,,,,
P,MW,M06,W01,PMWM06W01,PMWM06W01,11/11/2014,11/11/2014,1,40,40,1,-477,Construct,,,,,,
P,MW,M07,F02,PMWM07F02,PMWM07F02,07/22/2013,07/23/2013,2,1061,1005,2,23,Construct,,,,,,
P,MW,M07,F01,PMWM07F01,PMWM07F01,08/15/2013,09/06/2013,23,1044,1075,3,4,Construct,Code 02.,"Joining ""F01"" and ""F01b"" under the name of ""F01""",Code 02a.,P-P-S-2323-0002,"entry has no subdivisions in model, joining pours",
P,MW,M07,C04 a,PMWM07C04a,PMWM07C04a,09/10/2013,09/11/2013,2,275,213,2,26,Construct,,,,,"model is not separated,review model",Fixed
P,MW,M07,C04 c,PMWM07C04c,PMWM07C04c,10/07/2013,10/08/2013,2,125,106,2,1,Construct,,,,,,
P,MW,M07,C03 a,PMWM07C03a,PMWM07C03a,10/09/2013,10/10/2013,2,209,213,2,20,Construct,,,,,"model is not separated,review model",Fixed
P,MW,M07,C03 c,PMWM07C03c,PMWM07C03c,10/30/2013,10/31/2013,2,109,106,2,0,Construct,,,,,,
P,MW,M07,C04b,PMWM07C04b,PMWM07C04b,10/31/2013,11/01/2013,2,238,217,2,18,Construct,,,,,,
P,MW,M07,C03 b,PMWM07C03b,PMWM07C03b,11/19/2013,11/20/2013,2,249,257,2,22,Construct,,,,,,
P,MW,M07,C02,PMWM07C02,PMWM07C02,12/12/2013,12/13/2013,2,490,490,2,7,Construct,,,,,,
P,MW,M07,C01,PMWM07C01,PMWM07C01,12/20/2013,01/14/2014,26,1379,1354,3,56,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2323-0002,"entry has no subdivisions in model, joining pours",
P,MW,M07,W09,PMWM07W09,PMWM07W09,03/11/2014,03/11/2014,1,649,649,1,14,Construct,,,,,,
P,MW,M07,W08,PMWM07W08,PMWM07W08,03/25/2014,03/25/2014,1,549,545,1,17,Construct,,,,,,
P,MW,M07,W07,PMWM07W07,PMWM07W07,04/11/2014,04/11/2014,1,423,441,1,36,Construct,,,,,,
