Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,Revision Process,,RFC Number
A,T1,C309,R02b,AT1C309R02b,AT1C309R02b,11/25/2013,11/26/2013,2,0,0,0,181,Construct,Code 04.,"Lift ""C03-08/09 R03/R02"" will be separated into ""C03-08 R03"", ""C03-08 R02"", ""C03-09 R03"", ""C03-09 R02a"" and ""C03-09 R02b"".  All quantities will be assgned to ""C03-08 R03"".",Code 04a.,A-P-S-6810-0005
A,T1,C308,R01,AT1C308R01,AT1C308R01,05/26/2014,05/27/2014,2,96,83,2,-354,Construct,,,,
A,T1,C308,F01,AT1C308F01,AT1C308F01,06/07/2013,06/07/2013,1,591,561,1,20,Construct,Code 05.,"Lift ""C03-07/08 F01"" will be renamed as ""C03-08 F01"".",Code 05a.,A-P-S-6810-0003
A,T1,C307,F01,AT1C307F01,AT1C307F01,06/27/2013,06/27/2013,1,88,0,1,20,Construct,Code 02.,"Joining lifts ""C03-07/08/09 F01"" and ""C03-07/08 F01(Kicker)"" under the name of ""C03-07 F01"".",Code 02a.,A-P-S-6810-0003
A,T1,C307,W02a,AT1C307W02a,AT1C307W02a,07/17/2013,07/17/2013,1,64,50,1,1,Construct,,,,
A,T1,C307,W01a,AT1C307W01a,AT1C307W01a,07/18/2013,07/18/2013,1,0,0,0,29,Construct,Code 01.,"A new row was created under the name of C03-07 W01a"" with 0 quantities and the dates of the preivous lift plus one day.",Code 01b.,A-P-S-6810-0004
A,T1,C307,W01b,AT1C307W01b,AT1C307W01b,08/16/2013,08/16/2013,1,136,86,2,-9,Construct,,,,
A,T1,C307,W02b,AT1C307W02b,AT1C307W02b,08/07/2013,08/07/2013,1,80,50,1,38,Construct,,,,
A,T1,C307,R02,AT1C307R02,AT1C307R02,09/14/2013,09/14/2013,1,112,97,1,9,Construct,,,,
A,T1,C307,R01,AT1C307R01,AT1C307R01,09/23/2013,09/24/2013,2,175,165,2,-97,Construct,,,,
A,T1,C306,F01,AT1C306F01,AT1C306F01,06/19/2013,06/20/2013,2,399,353,2,92,Construct,,,,
A,T1,C306,W01b,AT1C306W01b,AT1C306W01b,09/20/2013,09/20/2013,1,112,66,1,14,Construct,,,,
A,T1,C306,R02,AT1C306R02,AT1C306R02,10/04/2013,10/04/2013,1,160,139,1,10,Construct,,,,
A,T1,C306,R01,AT1C306R01,AT1C306R01,10/14/2013,10/14/2013,1,255,236,1,-123,Construct,,,,
A,T1,C305,F01,AT1C305F01,AT1C305F01,06/13/2013,07/19/2013,37,456,361,2,25,Construct,Code 02.,"Joining Lifts ""C3-05 F01"", ""C03-05/06 F01a&b"" and ""C03-05/06 F01b"" under the name of ""C03-05 F01"".",Code 02a.,A-P-S-6810-0003
A,T1,C305,W02a,AT1C305W02a,AT1C305W02a,08/13/2013,08/13/2013,1,184,100,1,0,Construct,Code 04.,"Lift ""C3-05/06 W02a"" will be divided into ""C3-05 W02a"" and ""C3-06 W02a"".  All quantities will be assigned to ""C3-05 W02a"".",Code 04a.,A-P-S-6810-0003
A,T1,C306,W02a,AT1C306W02a,AT1C306W02a,08/13/2013,08/13/2013,1,0,0,0,17,Construct,Code 04.,"Lift ""C3-05/06 W02a"" will be divided into ""C3-05 W02a"" and ""C3-06 W02a"".  All quantities will be assigned to ""C3-05 W02a"".",Code 04a.,A-P-S-6810-0003
A,T1,C305,W02b,AT1C305W02b,AT1C305W02b,08/30/2013,08/31/2013,2,192,164,2,-1,Construct,Code 04.,"Lift ""C3-05/06 W02b"" will be divided into ""C3-05 W02b"" and ""C3-06 W02b"".  All quantities will be assigned to ""C3-05 W02b"".",Code 04a.,A-P-S-6810-0004
A,T1,C306,W02b,AT1C306W02b,AT1C306W02b,08/30/2013,08/31/2013,2,0,0,0,7,Construct,Code 04.,"Lift ""C3-05/06 W02b"" will be divided into ""C3-05 W02b"" and ""C3-06 W02b"".  All quantities will be assigned to ""C3-05 W02b"".",Code 04a.,A-P-S-6810-0004
