Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C04b,ALWM06C04b,ALWM06C04b,09/26/2013,09/26/2013,1,144,96,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C03b,ALWM06C03b,ALWM06C03b,10/03/2013,10/03/2013,1,124,113,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C02,ALWM06C02,ALWM06C02,10/11/2013,10/12/2013,2,183,170,2,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C01,ALWM06C01,ALWM06C01,10/15/2013,10/16/2013,2,603,575,2,29,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W07,ALWM06W07,ALWM06W07,11/14/2013,11/15/2013,2,265,233,2,13,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W06,ALWM06W06,ALWM06W06,11/28/2013,11/28/2013,1,198,204,1,12,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W05,ALWM06W05,ALWM06W05,12/10/2013,12/10/2013,1,187,172,1,20,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W04,ALWM06W04,ALWM06W04,12/30/2013,12/30/2013,1,156,141,1,17,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W03b,ALWM06W03b,ALWM06W03b,01/16/2014,01/16/2014,1,96,90,1,19,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W03a,ALWM06W03a,ALWM06W03a,02/04/2014,02/04/2014,1,104,84,1,32,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W02,ALWM06W02,ALWM06W02,03/08/2014,03/08/2014,1,90,77,1,72,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W01,ALWM06W01,ALWM06W01,05/19/2014,05/19/2014,1,40,40,1,-201,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,F02,ALWM07F02,ALWM07F02,10/30/2013,10/31/2013,2,969,965,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,F01,ALWM07F01,ALWM07F01,11/07/2013,11/27/2013,21,1037,1026,6,1,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 b"" and ""F01 c"", under the name of ""F01"".",Code 02a.,A-P-S-3320-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C04c,ALWM07C04c,ALWM07C04c,11/28/2013,11/29/2013,2,117,107,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C04a,ALWM07C04a,ALWM07C04a,12/03/2013,12/03/2013,1,152,143,1,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C03a,ALWM07C03a,ALWM07C03a,12/06/2013,12/06/2013,1,162,148,1,0,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C03c,ALWM07C03c,ALWM07C03c,12/06/2013,12/06/2013,1,114,111,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C04b,ALWM07C04b,ALWM07C04b,12/13/2013,12/13/2013,1,238,246,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C03b,ALWM07C03b,ALWM07C03b,12/20/2013,12/20/2013,1,248,253,1,26,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C02,ALWM07C02,ALWM07C02,01/15/2014,01/15/2014,1,402,383,1,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C01,ALWM07C01,ALWM07C01,01/20/2014,01/21/2014,2,1283,1295,2,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,W07,ALWM07W07,ALWM07W07,01/30/2014,01/30/2014,1,515,509,1,26,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,W06,ALWM07W06,ALWM07W06,02/25/2014,02/25/2014,1,445,441,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,W05,ALWM07W05,ALWM07W05,03/08/2014,03/08/2014,1,368,375,1,18,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,W04,ALWM07W04,ALWM07W04,03/26/2014,03/26/2014,1,306,306,1,14,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,W03b,ALWM07W03b,ALWM07W03b,04/09/2014,04/10/2014,2,208,203,2,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,W03a,ALWM07W03a,ALWM07W03a,04/21/2014,04/21/2014,1,208,203,1,22,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,W02,ALWM07W02,ALWM07W02,05/13/2014,05/13/2014,1,184,195,1,28,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,W01,ALWM07W01,ALWM07W01,06/10/2014,06/11/2014,2,136,148,2,-330,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,F02,ALWM08F02,ALWM08F02,07/16/2013,07/20/2013,5,1288,1100,4,4,Construct,Code 02.,"Joining lift ""F02 a"" and ""F02 b"", under the name of ""F02"".",Code 02a.,A-P-S-3340-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M08,F01,ALWM08F01,ALWM08F01,07/24/2013,08/22/2013,30,808,805,5,37,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"",  ""F01 b"" and ""F01 c"", under the name of ""F01"".",Code 02a.,A-P-S-3340-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M08,C04c,ALWM08C04c,ALWM08C04c,09/28/2013,09/28/2013,1,86,77,1,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,C03c,ALWM08C03c,ALWM08C03c,10/03/2013,10/03/2013,1,82,80,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,C04b,ALWM08C04b,ALWM08C04b,10/10/2013,10/11/2013,2,172,177,2,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,C03b,ALWM08C03b,ALWM08C03b,10/16/2013,10/16/2013,1,192,205,1,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,C04a,ALWM08C04a,ALWM08C04a,10/26/2013,10/26/2013,1,108,103,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,C03a,ALWM08C03a,ALWM08C03a,11/01/2013,11/02/2013,2,101,107,2,7,Construct,Code 05.,"Lift ""C03A"" will be renamed as ""C03 a""",Code 05a.,A-P-S-3341-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M08,C02,ALWM08C02,ALWM08C02,11/09/2013,11/09/2013,1,255,277,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,C01,ALWM08C01,ALWM08C01,11/15/2013,11/16/2013,2,1033,942,2,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,W07,ALWM08W07,ALWM08W07,11/27/2013,11/28/2013,2,404,384,2,43,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,W06,ALWM08W06,ALWM08W06,01/10/2014,01/10/2014,1,331,332,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,W05,ALWM08W05,ALWM08W05,01/18/2014,01/18/2014,1,302,283,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,W04,ALWM08W04,ALWM08W04,01/29/2014,01/29/2014,1,221,234,1,38,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,W03b,ALWM08W03b,ALWM08W03b,03/08/2014,03/08/2014,1,126,154,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,W03a,ALWM08W03a,ALWM08W03a,03/19/2014,03/19/2014,1,192,149,1,14,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M08,W02,ALWM08W02,ALWM08W02,04/02/2014,04/02/2014,1,132,139,1,47,Construct,,,,,,,,,,,,,,,,,,,,,,,,
