id,date,global_area,area,structure,monolith,lift,side,name,icl_found,defects,ncr,cod,formwork_defects,rebar_defects
4170,10/24/2013 0:00,LUC WSB,WSB Conduit ,T2,C302,W01a,A,AT2C302W01a,Yes,0,0,0,0,0
4171,10/24/2013 0:00,LUC WSB,WSB Conduit ,T1,C302,F01,A,AT1C302F01,Yes,0,0,0,0,0
4172,10/24/2013 0:00,LUC WSB,WSB Conduit ,T1,C301,W02a,A,AT1C301W02a,Yes,3,0,1,3,0
4173,10/24/2013 0:00,LUC WSB,WSB Conduit ,T1,C302,W02a,A,AT1C302W02a,Yes,3,0,1,3,0
4174,10/24/2013 0:00,LUC WSB,WSB Conduit ,T1,C205,P04,A,AT1C205P04,Yes,4,0,0,2,2
4175,10/24/2013 0:00,LUC WSB,WSB Conduit ,T1,C205,P03,A,AT1C205P03,Yes,4,0,0,2,2
4176,10/24/2013 0:00,LUC WSB,WSB Conduit ,T1,C206,P04,A,AT1C206P04,Yes,4,0,0,2,2
4177,10/24/2013 0:00,LUC WSB,WSB Conduit ,T1,C206,P03,A,AT1C206P03,Yes,4,0,0,2,2
4178,10/25/2013 0:00,LUC WSB,WSB Conduit ,T1,C305,R02,A,AT1C305R02,Yes,0,0,0,0,0
4179,10/26/2013 0:00,LUC WSB,Valve Structure ,VS2,,W02,A,AVS2W02,Yes,1,0,0,1,0
4180,10/26/2013 0:00,LUC WSB,Dividing Wall ,DW,U04A,W02,A,ADWU04AW02,Yes,1,0,0,1,0
4181,10/28/2013 0:00,LUC WSB,WSB Conduit ,T2,C303,W02b,A,AT2C303W02b,Yes,0,0,0,0,0
4182,10/30/2013 0:00,LUC WSB,Trifurcation ,TRF2,P3,1,A,ATRF2P301,No,0,0,0,0,0
4183,10/30/2013 0:00,LUC WSB,Trifurcation ,TRF2,P3,2,A,ATRF2P302,No,0,0,0,0,0
4184,10/30/2013 0:00,LUC WSB,Trifurcation ,TRF2,SW,1,A,ATRF2SW01,Yes,0,0,1,0,0
4185,10/30/2013 0:00,LUC WSB,Trifurcation ,TRF2,SW,2,A,ATRF2SW02,Yes,0,0,1,0,0
4186,10/30/2013 0:00,LUC WSB,WSB Conduit ,T1,C305,R01,A,AT1C305R01,Yes,0,0,0,0,0
4187,10/30/2013 0:00,LUC WSB,Dividing Wall ,DW,U02E,W02,A,ADWU02EW02,Yes,1,0,0,1,0
4188,11/1/2013 0:00,LUC WSB,WSB Conduit ,T2,C304,R02,A,AT2C304R02,Yes,0,0,0,0,0
4189,11/1/2013 0:00,LUC WSB,WSB Conduit ,T2,C304,R01,A,AT2C304R01,Yes,0,0,0,0,0
4190,11/1/2013 0:00,LUC WSB,WSB Conduit ,T1,C207,F01a,A,AT1C207F01a,Yes,0,0,1,0,0
4191,11/2/2013 0:00,LUC WSB,WSB Conduit ,T1,C303,W01b,A,AT1C303W01b,Yes,0,0,0,0,0
4192,11/6/2013 0:00,LUC WSB,WSB Conduit ,T2,C205,P03,A,AT2C205P03,Yes,0,0,0,0,0
4193,11/6/2013 0:00,LUC WSB,WSB Conduit ,T2,C205,P04,A,AT2C205P04,Yes,0,0,0,0,0
4194,11/6/2013 0:00,LUC WSB,WSB Conduit ,T2,C206,P03,A,AT2C206P03,Yes,0,0,0,0,0
4195,11/6/2013 0:00,LUC WSB,WSB Conduit ,T2,C206,P04,A,AT2C206P04,Yes,0,0,0,0,0
4196,11/8/2013 0:00,LUC WSB,Trifurcation ,TRF2,NW,1,A,ATRF2NW01,No,0,0,0,0,0
4197,11/8/2013 0:00,LUC WSB,Trifurcation ,TRF2,NW,2,A,ATRF2NW02,No,0,0,0,0,0
4198,11/8/2013 0:00,LUC WSB,WSB Conduit ,T2,C303,W01b,A,AT2C303W01b,Yes,1,0,0,1,0
4199,11/9/2013 0:00,LUC WSB,Trifurcation ,TRF1,R,6,A,ATRF1R06,Yes,0,0,0,0,0
4200,11/9/2013 0:00,LUC WSB,WSB Conduit ,T2,C207,F01a,A,AT2C207F01a,Yes,0,0,0,0,0
4201,11/13/2013 0:00,LUC WSB,WSB Conduit ,T1,C304,R02,A,AT1C304R02,Yes,0,0,0,0,0
4202,11/14/2013 0:00,LUC WSB,WSB Conduit ,T2,C205,W02,A,AT2C205W02,Yes,2,0,0,1,1
4203,11/14/2013 0:00,LUC WSB,WSB Conduit ,T2,C206,W02,A,AT2C206W02,Yes,0,0,0,0,0
4204,11/14/2013 0:00,LUC WSB,WSB Conduit ,T2,C206,F01,A,AT2C206F01,Yes,0,0,0,0,0
4205,11/14/2013 0:00,LUC WSB,WSB Conduit ,T2,C301,W02a,A,AT2C301W02a,Yes,0,0,0,0,0
4206,11/14/2013 0:00,LUC WSB,WSB Conduit ,T2,C311,(Kickera),A,AT2C311(Kickera),No,0,0,0,0,0
4207,11/15/2013 0:00,LUC WSB,WSB Conduit ,T1,C302,W02b,A,AT1C302W02b,Yes,0,0,0,0,0
4208,11/16/2013 0:00,LUC WSB,Trifurcation ,TRF1,R,5,A,ATRF1R05,Yes,0,0,0,0,0
4209,11/16/2013 0:00,LUC WSB,WSB Conduit ,T1,C310,W05a,A,AT1C310W05a,Yes,0,0,0,0,0
4210,11/16/2013 0:00,LUC WSB,WSB Conduit ,T1,C304,R01,A,AT1C304R01,Yes,0,0,0,0,0
4211,11/18/2013 0:00,LUC WSB,Trifurcation ,TRF2,P1,3,A,ATRF2P103,No,0,0,0,0,0
4212,11/18/2013 0:00,LUC WSB,Trifurcation ,TRF2,P1,4,A,ATRF2P104,No,0,0,0,0,0
4213,11/18/2013 0:00,LUC WSB,WSB Conduit ,T2,C302,W02b,A,AT2C302W02b,Yes,0,0,0,0,0
4214,11/19/2013 0:00,LUC WSB,WSB Conduit ,T2,C303,R02,A,AT2C303R02,Yes,0,0,0,0,0
4215,11/19/2013 0:00,LUC WSB,WSB Conduit ,T2,C303,R01,A,AT2C303R01,Yes,0,0,0,0,0
4216,11/20/2013 0:00,LUC WSB,WSB Conduit ,T1,C310,P06,A,AT1C310P06,Yes,2,0,0,1,1
