site,report,lift,qty_equipment,volume,concrete_start,concrete_finish,duration,calc_duration,calc_rate,rate,type
P,4035,PMEM23F02b,1,439,7/2/2013 2:08,7/2/2013 12:52,10.73333333,10.73,40.90062112,41,Redfern Request 325
P,4363,PMEM23F04b,1,32,7/30/2013 2:36,7/30/2013 5:20,2.733333333,2.73,11.70731707,12,Redfern Request 325
P,4201,PMEM23F05a,1,133,7/16/2013 0:05,7/16/2013 11:40,11.58333333,11.58,11.48201439,11,Redfern Request 325
P,4201,PMEM23F04a,1,133,7/16/2013 0:05,7/16/2013 11:40,11.58333333,11.58,11.48201439,11,Redfern Request 325
P,4020,PMEM23F06a,2,192,7/1/2013 0:55,7/1/2013 6:05,5.166666667,5.17,37.16129032,37,Redfern Request 325
P,7031,PMEM23W02,2,386,5/28/2014 9:30,5/28/2014 18:35,9.083333333,9.08,42.49541284,42,Redfern Request 325
P,7575,PMEM23W04,1,258.75,7/7/2014 10:30,7/7/2014 21:40,11.16666667,11.17,23.17164179,23,Redfern Request 325
P,7446,PMEM23W05,2,333,6/25/2014 8:13,6/25/2014 19:45,11.53333333,11.53,28.87283237,29,Redfern Request 325
P,7224,PMEM23W06,1,329,6/10/2014 7:45,6/11/2014 1:45,18,18,18.27777778,18,Redfern Request 325
P,6911,PMEM23W08,3,503.5,5/19/2014 20:30,5/20/2014 2:30,6,6,83.91666667,84,Redfern Request 325
P,5646,PMWM01W02,1,97,11/12/2013 3:05,11/12/2013 10:51,7.766666667,7.77,12.48927039,12,Redfern Request 325
P,Blank,PMWM01W03b,1,136,10/23/2013 21:10,10/24/2013 0:50,3.666666667,3.67,37.09090909,n.a,Redfern Request 325
P,5291,PMWM01W04,1,248,10/11/2013 19:15,10/12/2013 5:30,10.25,10.25,24.19512195,7,Redfern Request 325
P,4272,PMWM01W07,1,200,7/23/2013 14:40,7/23/2013 23:30,8.833333333,8.83,22.64150943,23,Redfern Request 325
P,4086,PMWM01W08,1,116.5,7/6/2013 17:45,7/7/2013 0:50,7.083333333,7.08,16.44705882,16,Redfern Request 325
P,5849,PMWM02W02,1,107,11/28/2013 3:54,11/28/2013 11:20,7.433333333,7.43,14.39461883,14,Redfern Request 325
P,5774,PMWM02W03a,1,153,11/22/2013 3:16,11/22/2013 12:00,8.733333333,8.73,17.51908397,18,Redfern Request 325
P,4857,PMWM02W03b,1,161,9/9/2013 2:50,9/9/2013 14:24,11.56666667,11.57,13.91930836,3,Redfern Request 325
P,4394,PMWM02W06,1,276,8/1/2013 20:30,8/2/2013 10:43,14.21666667,14.22,19.41383353,19,Redfern Request 325
P,5563,PMWM04C03a,1,144,11/2/2013 14:25,,,,0.335208535,33,Redfern Request 325
P,5780,PMWM04W03b,1,200,11/23/2013 11:50,11/23/2013 21:51,10.01666667,10.02,19.96672213,21,Redfern Request 325
P,4361,PMWM04W03a,1,423,7/30/2013 22:38,7/31/2013 16:55,18.28333333,18.28,23.13582498,23,Redfern Request 325
P,9164,PMWM04W04,1,56,10/10/2014 17:55,10/10/2014 19:55,2,2,28,28,Redfern Request 325
P,5230,PMWM04W05,1,266.5,10/8/2013 19:15,10/9/2013 4:14,8.983333333,8.98,29.66604824,30,Redfern Request 325
P,4361,PMWM04W08,1,423,7/30/2013 22:38,7/31/2013 16:55,18.28333333,18.28,23.13582498,23,Redfern Request 325
P,4165,PMWM04W09,1,572,7/12/2013 22:49,7/13/2013 22:25,23.6,23.6,24.23728814,24,Redfern Request 325
P,6810,PMWM05W02,1,180.5,5/12/2014 16:24,5/13/2014 3:08,10.73333333,10.73,16.81677019,18,Redfern Request 325
P,6409,PMWM05W04,1,224,3/21/2014 8:29,3/21/2014 15:25,6.933333333,6.93,32.30769231,32,Redfern Request 325
P,5441,PMWM05W07,1,336,10/23/2013 16:20,10/24/2013 5:26,13.1,13.1,25.64885496,26,Redfern Request 325
P,4224,PMWM06C01,1,383,7/18/2013 15:50,7/19/2013 8:50,17,17,22.52941176,23,Redfern Request 325
P,7607,PMWM06W03a,1,125,7/8/2014 9:00,7/8/2014 13:00,4,4,31.25,30,Redfern Request 325
P,7607,PMWM06W03b,1,125,7/8/2014 9:00,7/8/2014 13:00,4,4,31.25,30,Redfern Request 325
P,7418,PMWM06W04,1,128,6/23/2014 16:40,6/23/2014 22:50,6.166666667,6.17,20.75675676,21,Redfern Request 325
P,7198,PMWM06W05,1,158,6/7/2014 16:21,6/7/2014 22:45,6.4,6.4,24.6875,25,Redfern Request 325
P,7013,PMWM06W06,1,163,5/27/2014 9:00,5/27/2014 17:00,8,8,20.375,20,Redfern Request 325
P,4683,PMWM06W08,1,229,8/27/2013 13:20,8/28/2013 6:20,17,17,13.47058824,13,Redfern Request 325
P,4465,PMWM06W09,1,292.5,8/7/2013 23:15,8/8/2013 5:13,5.966666667,5.97,49.02234637,49,Redfern Request 325
P,5257,PMWM07C03a,1,208.5,10/9/2013 20:10,10/10/2013 6:02,9.866666667,9.87,21.13175676,21,Redfern Request 325
P,Blank,PMWM07C03c,1,108.5,10/30/2013 2:30,10/30/2013 11:20,8.833333333,8.83,12.28301887,12,Redfern Request 325
P,Blank,PMWM07C04b,1,217,10/31/2013 22:40,11/1/2013 13:15,14.58333333,14.58,14.88,n.a,Redfern Request 325
P,5228,PMWM07C04c,1,129.5,10/7/2013 3:39,10/7/2013 12:25,8.766666667,8.77,14.77186312,15,Redfern Request 325
P,4257,PMWM07F02,1,992,7/22/2013 9:40,7/23/2013 7:00,21.33333333,21.33,46.5,47,Redfern Request 325
