original_lift,lift,rebar_units,actual_start
T3-C1-03-W02c-20,PT3C103W02c,0,03/12/2015
T3-C1-03-W01c-20,PT3C103W01c,0,04/18/2015
T3-C1-03-W02e-20,PT3C103W02e,818,03/12/2015
T3-C1-03-W01e-20,PT3C103W01e,2729,04/18/2015
T3-C1-02-W04b-20,PT3C102W04b,7992,01/16/2015
T3-C1-02-W03b-20,PT3C102W03b,5970,02/09/2015
T3-C1-02-W02b-20,PT3C102W02b,441,03/21/2015
T3-C1-02-W01b-20,PT3C102W01b,3302,03/22/2015
T3-C1-03-W05-20,PT3C103W05,3930,12/19/2014
T3-C1-03-W04b-20,PT3C103W04b,2059,01/23/2015
T3-C1-03-W03b-20,PT3C103W03b,4373,02/09/2015
T3-C1-03-W02b-20,PT3C103W02b,728,03/21/2015
T3-C1-03-W01b-20,PT3C103W01b,1336,04/18/2015
T3-C1-01-W03-20,PT3C101W03,5327,07/26/2014
T3-C1-01-W02-20,PT3C101W02,7299,08/02/2014
T3-C1-01-W01-20,PT3C101W01,2195,08/13/2014
T3-C1-02-W07-20,PT3C102W07,565,11/18/2014
T3-C1-02-W06-20,PT3C102W06,4840,11/26/2014
T3-C1-02-W05-20,PT3C102W05,2225,12/19/2014
T3-C1-02-P09-20,PT3C102P09,1270,11/19/2014
T3-C1-02-P08-20,PT3C102P08,2690,10/25/2014
T3-C1-02-P07-20,PT3C102P07,3137,10/26/2014
T3-C1-02-P06-20,PT3C102P06,5407,01/10/2015
T3-C1-02-P05-20,PT3C102P05,4154,01/10/2015
T3-C1-02-P04-20,PT3C102P04,5433,01/24/2015
T3-C1-02-P03-20,PT3C102P03,1541,02/04/2015
T3-C1-02-P02b-20,PT3C102P02b,1541,02/04/2015
T3-C1-02-P01-20,PT3C102P01,194,03/03/2015
T3-C1-03-P05-20,PT3C103P05,237,03/09/2015
T3-C1-03-P04-20,PT3C103P04,1245,03/10/2015
T3-C1-03-P03-20,PT3C103P03,1541,03/18/2015
T3-C1-03-P02b-20,PT3C103P02b,1541,03/18/2015
T3-C1-03-P01-20,PT3C103P01,194,04/10/2015
T3-C1-02-P02a-20,PT3C102P02a,0,03/02/2015
T3-C1-03-P02a-20,PT3C103P02a,0,03/18/2015
T3-C1-01-F01-20,PT3C101F01,29768,06/09/2014
T3-C1-02-F01a-20,PT3C102F01a,15253,08/19/2014
T3-C1-02-F01b-20,PT3C102F01b,15844,10/24/2014
T3-C1-03-F01a-20,PT3C103F01a,18792,11/06/2014
T3-C1-03-F01b-20,PT3C103F01b,19202,01/06/2015
T3-C1-03-F01c-20,PT3C103F01c,6750,01/30/2015
T3-C1-01-R07-20,PT3C101R07,16153,12/06/2014
T3-C1-01-R06-20,PT3C101R06,7857,12/13/2014
T3-C1-01-R05-20,PT3C101R05,1366,12/18/2014
T3-C1-01-R04a-20,PT3C101R04a,5374,02/04/2015
T3-C1-01-R03a-20,PT3C101R03a,102,04/08/2015
T3-C1-01-R03b-20,PT3C101R03b,102,04/08/2015
T3-C1-01-R02-20,PT3C101R02,94,04/21/2015
T3-C1-01-R01-20,PT3C101R01,4853,04/21/2015
T3-C1-01-R04b-20,PT3C101R04b,5374,02/13/2015
T3-C1-02-W04a-20,PT3C102W04a,5883,11/24/2014
T3-C1-02-W03a-20,PT3C102W03a,4094,11/25/2014
T3-C1-02-W02a-20,PT3C102W02a,441,03/07/2015
T3-C1-02-W01a-20,PT3C102W01a,3491,12/15/2014
T3-C1-03-W04a-20,PT3C103W04a,2065,11/27/2014
T3-C1-03-W03a-20,PT3C103W03a,5118,11/28/2014
T3-C1-03-W02a-20,PT3C103W02a,513,03/07/2015
T3-C1-03-W01a-20,PT3C103W01a,0,12/15/2014
T3-C3-01-W02b-20,PT3C301W02b,6645,07/16/2014
T3-C3-01-W01b-20,PT3C301W01b,6529,07/28/2014
T3-C3-02-W02b-20,PT3C302W02b,6736,07/21/2014
T3-C3-02-W01b-20,PT3C302W01b,7048,08/06/2014
T3-C3-03-W02b-20,PT3C303W02b,7261,07/29/2014
T3-C3-03-W01b-20,PT3C303W01b,7411,08/14/2014
T3-C3-04-W02b-20,PT3C304W02b,6729,08/19/2014
T3-C3-04-W01b-20,PT3C304W01b,7238,09/01/2014
T3-C3-05-W02b-20,PT3C305W02b,5366,08/28/2014
T3-C3-05-W01b-20,PT3C305W01b,4889,09/16/2014
T3-C3-06-W02b-20,PT3C306W02b,7437,09/09/2014
T3-C3-06-W01b-20,PT3C306W01b,3389,10/17/2014
T3-C3-07-W02b-20,PT3C307W02b,3293,09/23/2014
T3-C3-07-W01b-20,PT3C307W01b,5602,10/24/2014
T3-C3-08-W02b-20,PT3C308W02b,2582,10/07/2014
T3-C3-08-W01b-20,PT3C308W01b,4880,10/28/2014
T3-C3-09-W02b-20,PT3C309W02b,2028,10/13/2014
T3-C3-09-W01b-20,PT3C309W01b,3298,11/11/2014
T3-C3-10-W02b-20,PT3C310W02b,5523,10/16/2014
T3-C3-10-W01b-20,PT3C310W01b,2043,11/17/2014
T3-C3-11-W05b-20,PT3C311W05b,4114,01/12/2015
T3-C3-11-W04b-20,PT3C311W04b,2143,01/17/2015
T3-C3-11-W03b-20,PT3C311W03b,12329,02/11/2015
T3-C3-11-W02b-20,PT3C311W02b,2675,02/12/2015
T3-C3-11-W01b-20,PT3C311W01b,2910,03/17/2015
T3-C3-12-W04b-20,PT3C312W04b,1491,02/03/2015
T3-C3-12-W03b-20,PT3C312W03b,3259,02/11/2015
T3-C3-12-W02b-20,PT3C312W02b,1109,02/12/2015
T3-C3-12-W01b-20,PT3C312W01b,1442,03/17/2015
T3-C3-01-W02a-20,PT3C301W02a,3364,07/21/2014
T3-C3-01-W01a-20,PT3C301W01a,5930,08/01/2014
T3-C3-02-W02a-20,PT3C302W02a,3650,07/24/2014
T3-C3-02-W01a-20,PT3C302W01a,5766,08/07/2014
T3-C3-03-W02a-20,PT3C303W02a,3992,08/01/2014
T3-C3-03-W01a-20,PT3C303W01a,6147,08/15/2014
T3-C3-04-W02a-20,PT3C304W02a,3380,08/11/2014
T3-C3-04-W01a-20,PT3C304W01a,5638,08/21/2014
T3-C3-05-W02a-20,PT3C305W02a,3532,08/14/2014
T3-C3-05-W01a-20,PT3C305W01a,5643,09/29/2014
T3-C3-06-W02a-20,PT3C306W02a,2108,08/20/2014
T3-C3-06-W01a-20,PT3C306W01a,5766,10/07/2014
T3-C3-07-W02a-20,PT3C307W02a,3495,09/30/2014
T3-C3-07-W01a-20,PT3C307W01a,5587,10/13/2014
T3-C3-08-W02a-20,PT3C308W02a,2582,10/02/2014
T3-C3-08-W01a-20,PT3C308W01a,4880,10/17/2014
T3-C3-09-W02a-20,PT3C309W02a,2323,10/13/2014
T3-C3-09-W01a-20,PT3C309W01a,3310,11/06/2014
T3-C3-10-W02a-20,PT3C310W02a,5387,10/17/2014
T3-C3-10-W01a-20,PT3C310W01a,2174,11/14/2014
T3-C3-11-W05a-20,PT3C311W05a,4114,01/12/2015
T3-C3-11-W04a-20,PT3C311W04a,2116,01/16/2015
T3-C3-11-W03a-20,PT3C311W03a,12444,02/18/2015
T3-C3-11-W02a-20,PT3C311W02a,2750,03/10/2015
T3-C3-11-W01a-20,PT3C311W01a,2987,03/20/2015
T3-C3-12-W04a-20,PT3C312W04a,1312,02/03/2015
T3-C3-12-W03a-20,PT3C312W03a,3388,02/18/2015
T3-C3-12-W02a-20,PT3C312W02a,1109,03/10/2015
T3-C3-12-W01a-20,PT3C312W01a,1312,03/20/2015
T3-C3-12-W02d-20,PT3C312W02d,1791,01/21/2015
T3-C3-12-W01d-20,PT3C312W01d,1751,03/17/2015
T3-C3-12-W02c-20,PT3C312W02c,246,03/02/2015
T3-C3-12-W01c-20,PT3C312W01c,297,03/17/2015
T3-C3-12-W02e-20,PT3C312W02e,1755,01/21/2015
T3-C3-12-W01e-20,PT3C312W01e,1743,03/17/2015
T3-C3-09-P04-20,PT3C309P04,1578,12/15/2014
T3-C3-09-P03-20,PT3C309P03,1897,12/15/2014
T3-C3-09-P02-20,PT3C309P02,567,12/23/2014
T3-C3-09-P01-20,PT3C309P01,1420,12/23/2014
T3-C3-10-P04-20,PT3C310P04,2619,12/15/2014
T3-C3-10-P03-20,PT3C310P03,3192,12/15/2014
T3-C3-10-P02-20,PT3C310P02,2043,12/23/2014
T3-C3-10-P01-20,PT3C310P01,4239,12/23/2014
T3-C3-11-P07-20,PT3C311P07,867,01/17/2015
T3-C3-11-P06-20,PT3C311P06,3584,01/17/2015
T3-C3-11-P05-20,PT3C311P05,1635,01/18/2015
T3-C3-11-P04-20,PT3C311P04,3879,02/18/2015
T3-C3-11-P03-20,PT3C311P03,1613,03/04/2015
T3-C3-11-P02b-20,PT3C311P02b,1961,03/04/2015
T3-C3-11-P01-20,PT3C311P01,245,03/14/2015
T3-C3-12-P05-20,PT3C312P05,953,02/18/2015
T3-C3-12-P04-20,PT3C312P04,1245,02/18/2015
T3-C3-12-P03-20,PT3C312P03,562,03/04/2015
T3-C3-12-P02b-20,PT3C312P02b,1249,03/04/2015
T3-C3-12-P01-20,PT3C312P01,133,03/14/2015
T3-C3-11-P02a-20,PT3C311P02a,1961,03/06/2015
T3-C3-12-P02a-20,PT3C312P02a,0,03/04/2015
T3-C3-01-R02-20,PT3C301R02,13196,09/02/2014
T3-C3-01-R01-20,PT3C301R01,17640,09/08/2014
T3-C3-02-R02-20,PT3C302R02,0,09/20/2014
T3-C3-02-R01-20,PT3C302R01,0,09/24/2014
T3-C3-03-R02-20,PT3C303R02,11193,10/08/2014
T3-C3-03-R01-20,PT3C303R01,12773,10/13/2014
T3-C3-04-R02-20,PT3C304R02,13201,10/23/2014
T3-C3-04-R01-20,PT3C304R01,7445,10/27/2014
T3-C3-05-R02-20,PT3C305R02,12482,11/11/2014
T3-C3-05-R01-20,PT3C305R01,11937,11/14/2014
T3-C3-06-R01-20,PT3C306R01,11335,11/26/2014
T3-C3-07-R02-20,PT3C307R02,14833,12/06/2014
T3-C3-07-R01-20,PT3C307R01,8782,12/12/2014
T3-C3-08-R02-20,PT3C308R02,12298,01/03/2015
T3-C3-08-R01-20,PT3C308R01,12868,01/07/2015
T3-C3-09-R03-20,PT3C309R03,7532,01/24/2015
T3-C3-09-R02-20,PT3C309R02,4979,01/30/2015
T3-C3-09-R01-20,PT3C309R01,1850,01/30/2015
T3-C3-10-R05-20,PT3C310R05,7094,01/24/2015
T3-C3-10-R04-20,PT3C310R04,1577,03/21/2015
T3-C3-10-R02-20,PT3C310R02,10928,04/01/2015
T3-C3-10-R01-20,PT3C310R01,6825,04/01/2015
