lift,actual_start,actual_quantity
ALEM14W03b,02/26/2013,160
ALEM14W03a,03/13/2013,152
ALEM14W02,03/25/2013,116
ALEM14W01,10/30/2014,56
ALEM15F02,04/16/2012,836
ALEM15F01,04/27/2012,630
ALEM15C04a,06/18/2012,97
ALEM15C03a,06/22/2012,93
ALEM15C03c,06/23/2012,62
ALEM15C04b,09/14/2012,188
ALEM15C04c,09/05/2012,0
ALEM15C03b,09/19/2012,179
ALEM15C02,10/06/2012,264
ALEM15C01,10/11/2012,784
ALEM15W07,10/30/2012,340
ALEM15W06,11/13/2012,344
ALEM15W05,11/28/2012,248
ALEM15W04,12/21/2012,196
ALEM15W03b,01/17/2013,136
ALEM15W03a,01/30/2013,128
ALEM15W02,02/06/2013,104
ALEM15W01,11/13/2014,48
ALEM16F02,03/16/2012,1041
ALEM16F01,03/27/2012,788
ALEM16C04a,05/30/2012,152
ALEM16C03a,06/07/2012,138
ALEM16C04c,06/08/2012,86
ALEM16C03c,06/12/2012,81
ALEM16C04b,08/23/2012,192
ALEM16C03b,08/28/2012,211
ALEM16C02,09/06/2012,312
ALEM16C01,09/13/2012,980
ALEM16W07,10/03/2012,388
ALEM16W06,10/12/2012,376
ALEM16W05,10/30/2012,296
ALEM16W04,11/13/2012,280
ALEM16W03b,11/27/2012,144
ALEM16W03a,12/17/2012,144
ALEM16W02,01/04/2013,136
ALEM16W01,11/22/2014,72
ALEM17F02,12/05/2012,1004
ALEM17F01,12/13/2012,864
ALEM17C04a,02/22/2013,104
ALEM17C04c,02/23/2013,72
ALEM17C03a,02/26/2013,104
ALEM17C03c,02/27/2013,72
ALEM17C04b,03/09/2013,232
ALEM17C03b,03/14/2013,208
ALEM17C02,03/20/2013,328
ALEM17C01,03/25/2013,884
ALEM17W07,04/05/2013,384
ALEM17W06,04/11/2013,360
ALEM17W05,04/22/2013,304
ALEM17W04,05/06/2013,240
ALEM17W03b,06/06/2013,176
ALEM17W03a,06/14/2013,126
ALEM17W02,07/12/2013,120
ALEM17W01,12/04/2014,40
ALEM18F02,12/19/2012,648
ALEM18F01,12/26/2012,516
ALEM18C04a,03/15/2013,56
ALEM18C04c,03/15/2013,56
ALEM18C03a,03/25/2013,72
ALEM18C03c,03/25/2013,40
ALEM18C04b,04/01/2013,112
ALEM18C03b,04/04/2013,96
ALEM18C02,04/11/2013,184
ALEM18C01,04/16/2013,656
ALEM18W07,06/26/2013,247
ALEM18W06,07/06/2013,199
ALEM18W05,07/15/2013,192
ALEM18W04,07/19/2013,168
ALEM18W03b,08/05/2013,96
ALEM18W03a,08/10/2013,96
ALEM18W02,08/19/2013,96
ALEM18W01,12/12/2014,40
ALEM19F02,06/28/2013,952
ALEM19F01,07/05/2013,1012
ALEM19C04a,08/06/2013,165
ALEM19C03a,08/12/2013,175
ALEM19C04c,08/12/2013,120
ALEM19C03c,08/19/2013,112
ALEM19C04b,08/29/2013,219
ALEM19C03b,09/04/2013,276
ALEM19C02,09/09/2013,453
ALEM19C01,09/13/2013,1305
ALEM19W07,09/25/2013,441
ALEM19W06,10/02/2013,446
ALEM19W05,10/10/2013,378
ALEM19W04,10/18/2013,334
ALEM19W03b,10/29/2013,215
ALEM19W03a,11/07/2013,211
ALEM19W02,11/18/2013,204
ALEM19W01,12/20/2014,107
ALEM20F02,12/22/2012,1104
ALEM20F01,01/03/2013,776
ALEM20C04c,07/12/2013,79
ALEM20C03c,07/18/2013,79
ALEM20C04a,07/18/2013,119
ALEM20C04b,07/29/2013,200
ALEM20C03a,07/31/2013,152
ALEM20C03b,08/03/2013,198
ALEM20C02,08/09/2013,305
ALEM20C01,08/14/2013,952
ALEM20W07,08/24/2013,408
ALEM20W06,08/30/2013,346
ALEM20W05,09/07/2013,315
ALEM20W04,09/16/2013,258
ALEM20W03b,09/23/2013,179
ALEM20W03a,10/03/2013,157
ALEM20W02,10/14/2013,144
ALEM20W01,12/17/2014,71
ALEM21F02,01/16/2013,1056
ALEM21F01,01/22/2013,772
ALEM21C04c,06/27/2013,80
ALEM21C04b,07/03/2013,184
ALEM21C03c,07/04/2013,80
ALEM21C04a,07/06/2013,138
ALEM21C03b,07/10/2013,200
ALEM21C03a,07/11/2013,109
ALEM21C02,07/17/2013,295
ALEM21C01,07/22/2013,983
ALEM21W07,07/30/2013,426
ALEM21W06,08/06/2013,369
ALEM21W05,08/12/2013,383
ALEM21W04,08/19/2013,272
ALEM21W03b,08/27/2013,144
ALEM21W03a,09/04/2013,164
ALEM21W02,09/11/2013,128
ALEM21W01,12/06/2014,89
ALEM22F02,03/20/2012,1048
ALEM22F01,03/28/2012,753
ALEM22C04c,05/26/2012,84
ALEM22C04a,05/28/2012,113
ALEM22C03c,06/12/2012,95
ALEM22C04b,09/10/2012,184
ALEM22C03b,09/17/2012,208
ALEM22C03a,09/18/2012,92
ALEM22C02,10/15/2012,304
ALEM22C01,10/29/2012,939
ALEM22W07,11/09/2012,400
ALEM22W06,11/19/2012,344
ALEM22W05,12/10/2012,304
ALEM22W04,01/04/2013,256
ALEM22W03b,01/18/2013,160
ALEM22W03a,01/29/2013,144
ALEM22W02,02/07/2013,120
ALEM22W01,11/27/2014,63
ALEM23F02,04/26/2012,1293
ALEM23F01,05/08/2012,923
ALEM23C04a,07/26/2012,128
ALEM23C03a,10/09/2012,128
ALEM23C03b,12/19/2012,0
ALEM23C03c,12/19/2012,0
ALEM23C04b,12/06/2012,764
ALEM23C04c,12/06/2012,0
ALEM23C02,01/05/2013,388
ALEM23C01,01/15/2013,1184
ALEM23W07,08/10/2013,564
ALEM23W06,08/21/2013,575
ALEM23W05,09/05/2013,368
ALEM23W04,09/13/2013,332
ALEM23W03b,09/18/2013,215
ALEM23W03a,09/30/2013,164
ALEM23W02,10/07/2013,128
ALEM23W01,11/21/2014,72
ALWM01F02b,06/30/2012,720
ALWM01F02a,07/11/2012,357
ALWM01F01b,07/17/2012,658
ALWM01F01a,07/19/2012,410
ALWM01C06a,04/15/2013,72
ALWM01C06b,04/15/2013,48
ALWM01C05b,04/25/2013,360
ALWM01C04b,05/03/2013,508
ALWM01C05a,05/06/2013,88
ALWM01C03b,05/08/2013,160
ALWM01C04a,05/13/2013,88
ALWM01C03a,05/21/2013,40
ALWM01C02,06/05/2013,304
ALWM01C01,06/12/2013,1052
ALWM01W08,06/20/2013,208
ALWM01W07,06/27/2013,452
ALWM01W06,07/05/2013,400
ALWM01W05,07/16/2013,357
ALWM01W04,07/22/2013,298
ALWM01W03b,07/29/2013,202
ALWM01W03a,08/07/2013,146
ALWM01W02,08/13/2013,116
ALWM01W01,02/03/2015,47
ALWM02F03,04/17/2012,1134
ALWM02F02,04/17/2012,0
ALWM02F01,05/01/2012,629
ALWM02C04a,07/14/2012,133
ALWM02C03a,07/21/2012,118
ALWM02C04b,03/06/2013,504
ALWM02C04c,03/06/2013,0
ALWM02C03b,03/13/2013,548
ALWM02C03c,03/13/2013,0
ALWM02C02,03/19/2013,316
ALWM02C01,03/23/2013,924
ALWM02W07,07/30/2013,453
ALWM02W06,08/07/2013,338
ALWM02W05,08/15/2013,336
ALWM02W04,08/22/2013,263
ALWM02W03b,09/02/2013,167
ALWM02W03a,09/09/2013,112
