Activity ID,Structure,Main structure,Activity Name,Start,Finish,Budgeted Units,Remaining Units,WBS Path,WBS Name,Resource Type,Resource Name
TRF6-SW-05-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,19-Jan-13,19-Jan-13,6369,6369,2.13.3.1.2.2.1.7,TRF6-SW-05,Material,Rebar
TRF6-NW-06-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,29-Dec-12,29-Dec-12,6223,6223,2.13.3.1.2.2.2.6,TRF6-NW-06,Material,Rebar
TRF6-NW-11-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,3-Dec-12,3-Dec-12,7057,7057,2.13.3.1.2.2.2.1,TRF6-NW-11,Material,Rebar
TRF6-NW-10-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,7-Dec-12,10-Dec-12,8508,8508,2.13.3.1.2.2.2.2,TRF6-NW-10,Material,Rebar
TRF6-NW-09-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,13-Dec-12,14-Dec-12,5979,5979,2.13.3.1.2.2.2.3,TRF6-NW-09,Material,Rebar
TRF6-NW-08-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,17-Dec-12,18-Dec-12,5841,5841,2.13.3.1.2.2.2.4,TRF6-NW-08,Material,Rebar
TRF6-NW-07-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,21-Dec-12,21-Dec-12,6148,6148,2.13.3.1.2.2.2.5,TRF6-NW-07,Material,Rebar
TRF6-NW-05-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,19-Jan-13,19-Jan-13,6369,6369,2.13.3.1.2.2.2.7,TRF6-NW-05,Material,Rebar
TRF6-NW-04-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,28-Jan-13,29-Jan-13,6226,6226,2.13.3.1.2.2.2.8,TRF6-NW-04,Material,Rebar
TRF6-NW-03-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,1-Feb-13,2-Feb-13,5837,5837,2.13.3.1.2.2.2.9,TRF6-NW-03,Material,Rebar
TRF6-NW-02-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,6-Feb-13,7-Feb-13,8203,8203,2.13.3.1.2.2.2.10,TRF6-NW-02,Material,Rebar
TRF6-NW-01-20,WSB-TR,TRIFURCATION 6,Steel Reinforcement,15-Feb-13,15-Feb-13,1505,1505,2.13.3.1.2.2.2.11,TRF6-NW-01,Material,Rebar
T6-C3-12-W01c-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,24-May-13,24-May-13,293,293,2.13.3.3.2.3.6.5,T6-C3-12-W01c,Material,Rebar
T6-C3-12-W02e-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,5-Jun-13,5-Jun-13,1657,1657,2.13.3.3.2.3.6.3,T6-C3-12-W02e,Material,Rebar
T6-C3-12-W02d-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,5-Jun-13,5-Jun-13,1657,1657,2.13.3.3.2.3.6.1,T6-C3-12-W02d,Material,Rebar
T6-C3-12-W01e-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,10-Jun-13,10-Jun-13,2446,2446,2.13.3.3.2.3.6.6,T6-C3-12-W01e,Material,Rebar
T6-C3-12-W01d-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,10-Jun-13,10-Jun-13,2376,2376,2.13.3.3.2.3.6.4,T6-C3-12-W01d,Material,Rebar
T6-C3-12-W02c-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,18-May-13,18-May-13,246,246,2.13.3.3.2.3.6.2,T6-C3-12-W02c,Material,Rebar
T6-C3-01-R01-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,25-May-13,27-May-13,11130,11130,2.13.3.3.2.3.5.2,T6-C3-01-R01,Material,Rebar
T6-C3-04-R01-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,17-Jun-13,17-Jun-13,4162,4162,2.13.3.3.2.3.5.8,T6-C3-04-R01,Material,Rebar
T6-C3-10-R02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,16-Aug-13,17-Aug-13,12257,12257,2.13.3.3.2.3.5.26,T6-C3-10-R02,Material,Rebar
T6-C3-02-R02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,25-May-13,27-May-13,25097,25097,2.13.3.3.2.3.5.3,T6-C3-02-R02,Material,Rebar
T6-C3-01-R02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,18-May-13,20-May-13,10482,10482,2.13.3.3.2.3.5.1,T6-C3-01-R02,Material,Rebar
T6-C3-02-R01-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,31-May-13,3-Jun-13,20791,20791,2.13.3.3.2.3.5.4,T6-C3-02-R01,Material,Rebar
T6-C3-03-R02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,1-Jun-13,3-Jun-13,14664,14664,2.13.3.3.2.3.5.5,T6-C3-03-R02,Material,Rebar
T6-C3-04-R02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,8-Jun-13,10-Jun-13,12464,12464,2.13.3.3.2.3.5.7,T6-C3-04-R02,Material,Rebar
T6-C3-05-R02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,14-Jun-13,15-Jun-13,11617,11617,2.13.3.3.2.3.5.9,T6-C3-05-R02,Material,Rebar
T6-C3-05-R01-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,21-Jun-13,22-Jun-13,10264,10264,2.13.3.3.2.3.5.10,T6-C3-05-R01,Material,Rebar
T6-C3-06-R02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,21-Jun-13,22-Jun-13,11304,11304,2.13.3.3.2.3.5.11,T6-C3-06-R02,Material,Rebar
T6-C3-08-R02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,5-Jul-13,6-Jul-13,12202,12202,2.13.3.3.2.3.5.16,T6-C3-08-R02,Material,Rebar
T6-C3-09-R02-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,26-Jul-13,26-Jul-13,2402,2402,2.13.3.3.2.3.5.19,T6-C3-09-R02,Material,Rebar
T6-C3-10-R03-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,10-Aug-13,10-Aug-13,3614,3614,2.13.3.3.2.3.5.23,T6-C3-10-R03,Material,Rebar
T6-C3-08-R01-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,12-Jul-13,13-Jul-13,12719,12719,2.13.3.3.2.3.5.17,T6-C3-08-R01,Material,Rebar
T6-C3-09-R03-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,13-Jul-13,13-Jul-13,7265,7265,2.13.3.3.2.3.5.18,T6-C3-09-R03,Material,Rebar
T6-C3-10-R01-20,WSB CONDUIT,WSB LOWER CHAMBER,Steel Reinforcement,24-Aug-13,24-Aug-13,6412,6412,2.13.3.3.2.3.5.27,T6-C3-10-R01,Material,Rebar
